Country_Year,GNI_per_cap,Labor_force,Life_expectancy,Population
Turkey_2015,11960.0,29780340.0,76.532,78529409.0
Turkey_2016,11180.0,30831360.0,76.86,79821724.0
Turkey_2017,10900.0,31954592.0,77.161,81101892.0
Turkey_2018,10420.0,32826049.0,77.437,82319724.0
Tanzania_2015,980.0,23877145.0,63.111000000000004,51482633.0
Tanzania_2016,970.0,24659135.0,63.843999999999994,53050790.0
Tanzania_2017,970.0,25467538.0,64.479,54663906.0
Tanzania_2018,1020.0,26304005.0,65.015,56318348.0
Uganda_2015,830.0,14078249.0,61.373000000000005,38225453.0
Uganda_2016,790.0,14657926.0,61.986000000000004,39647506.0
Uganda_2017,740.0,15285775.0,62.516000000000005,41162465.0
Uganda_2018,750.0,15935453.0,62.973,42723139.0
Ukraine_2015,2700.0,20945249.0,71.189512195122,45154036.0
Ukraine_2016,2370.0,20755122.0,71.4763414634146,45004674.0
Ukraine_2017,2380.0,20610189.0,71.7809756097561,44831135.0
Ukraine_2018,2800.0,20432109.0,71.5826829268293,44622518.0
Uruguay_2015,15640.0,1749234.0,77.369,3412009.0
Uruguay_2016,14980.0,1750871.0,77.498,3424132.0
Uruguay_2017,15150.0,1748271.0,77.632,3436646.0
Uruguay_2018,15910.0,1749881.0,77.77,3449299.0
United States_2015,56740.0,160596354.0,78.69024390243901,320635163.0
United States_2016,57180.0,162547573.0,78.5390243902439,322941311.0
United States_2017,59060.0,164268059.0,78.5390243902439,324985539.0
United States_2018,63200.0,165483017.0,78.5390243902439,326687501.0
Uzbekistan_2015,2600.0,14502140.0,70.928,31298900.0
Uzbekistan_2016,2660.0,14786980.0,71.171,31847900.0
Uzbekistan_2017,2350.0,15042030.0,71.388,32388600.0
Uzbekistan_2018,2020.0,15289417.0,71.57300000000001,32956100.0
Vietnam_2015,1970.0,55760129.0,75.11,92677076.0
Vietnam_2016,2080.0,55991171.0,75.172,93638724.0
Vietnam_2017,2120.0,56565992.0,75.241,94596642.0
Vietnam_2018,2360.0,56915235.0,75.317,95540395.0
Yemen_2015,1150.0,5845660.0,66.085,26497889.0
Yemen_2016,1070.0,6080279.0,66.087,27168210.0
Yemen_2017,970.0,6312623.0,66.086,27834821.0
Yemen_2018,940.0,6545429.0,66.096,28498687.0
South Africa_2015,6050.0,21690077.0,62.648999999999994,55386367.0
South Africa_2016,5470.0,22092829.0,63.153,56203654.0
South Africa_2017,5410.0,22696993.0,63.538000000000004,57000451.0
South Africa_2018,5750.0,22947458.0,63.857,57779622.0
Zambia_2015,1580.0,6423437.0,61.736999999999995,15879361.0
Zambia_2016,1370.0,6650519.0,62.464,16363507.0
Zambia_2017,1300.0,6888188.0,63.043,16853688.0
Zambia_2018,1460.0,7134980.0,63.51,17351822.0
Zimbabwe_2015,1280.0,6587744.0,59.534,13814629.0
Zimbabwe_2016,1290.0,6686030.0,60.294,14030390.0
Zimbabwe_2017,1360.0,6792647.0,60.812,14236745.0
Zimbabwe_2018,1530.0,6907202.0,61.195,14439018.0
